City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Te Anau,NZ,-45.4167,167.7167,50.86,49,80,8.46,broken clouds
324,Tuatapere,NZ,-46.1333,167.6833,50.85,60,88,14.56,overcast clouds
325,Olinda,BR,-8.0089,-34.8553,78.53,73,40,9.22,scattered clouds
326,Voloshka,RU,61.3314,40.0858,40.15,86,34,10.16,scattered clouds
327,Kolosovka,RU,56.4678,73.611,38.77,87,100,8.81,overcast clouds
328,Bambanglipuro,ID,-7.95,110.2833,80.04,79,100,8.48,light rain
329,Raga,SS,8.4596,25.678,70.36,94,96,2.62,overcast clouds
330,Adrar,MR,20.5022,-10.0711,85.1,11,100,9.89,overcast clouds
331,Koumac,NC,-20.5667,164.2833,80.4,63,0,10.45,clear sky
332,Huilong,CN,31.8111,121.655,61.48,50,4,16.26,clear sky
333,West Plains,US,36.7281,-91.8524,44.91,46,0,8.05,clear sky
334,Brasileia,BR,-11.0161,-68.7481,77.13,70,37,1.21,scattered clouds
335,Umm Lajj,SA,25.0213,37.2685,81.0,55,21,3.29,few clouds
336,Westport,US,41.1415,-73.3579,62.42,82,100,11.5,light rain
337,Qasigiannguit,GL,68.8193,-51.1922,41.25,90,100,6.6,light rain
338,Humboldt,US,40.6665,-123.9178,57.6,73,100,3.04,overcast clouds
339,Salinopolis,BR,-0.6136,-47.3561,80.24,80,55,12.21,broken clouds
340,Ubatuba,BR,-23.4339,-45.0711,70.92,89,66,2.75,broken clouds
341,Bukoba,TZ,-1.3317,31.8122,63.0,89,100,5.73,overcast clouds
